userId,movieId,score,rank,eval_window,window_start,window_end,n_eval_ratings
551,6985,4.288891,1,4,2015-09-30,2015-10-30,3
551,1305,4.193327,2,4,2015-09-30,2015-10-30,3
551,101850,4.099893,3,4,2015-09-30,2015-10-30,3
551,7766,4.07679,4,4,2015-09-30,2015-10-30,3
551,7071,4.071082,5,4,2015-09-30,2015-10-30,3
551,6669,4.046218,6,4,2015-09-30,2015-10-30,3
551,129514,4.042318,7,4,2015-09-30,2015-10-30,3
551,26587,4.031414,8,4,2015-09-30,2015-10-30,3
551,46855,4.030066,9,4,2015-09-30,2015-10-30,3
551,318,4.02844,10,4,2015-09-30,2015-10-30,3
551,92475,4.026417,11,4,2015-09-30,2015-10-30,3
551,2920,4.022583,12,4,2015-09-30,2015-10-30,3
551,99764,4.015843,13,4,2015-09-30,2015-10-30,3
551,7132,4.015677,14,4,2015-09-30,2015-10-30,3
551,2931,4.007657,15,4,2015-09-30,2015-10-30,3
551,1216,4.005198,16,4,2015-09-30,2015-10-30,3
551,93040,4.001565,17,4,2015-09-30,2015-10-30,3
551,120815,4.001163,18,4,2015-09-30,2015-10-30,3
551,86347,3.998803,19,4,2015-09-30,2015-10-30,3
551,3621,3.998788,20,4,2015-09-30,2015-10-30,3
551,7327,3.998421,21,4,2015-09-30,2015-10-30,3
551,665,3.994169,22,4,2015-09-30,2015-10-30,3
551,926,3.992966,23,4,2015-09-30,2015-10-30,3
551,93988,3.985362,24,4,2015-09-30,2015-10-30,3
551,86345,3.982512,25,4,2015-09-30,2015-10-30,3
551,5515,3.977969,26,4,2015-09-30,2015-10-30,3
551,127052,3.977244,27,4,2015-09-30,2015-10-30,3
551,1202,3.974727,28,4,2015-09-30,2015-10-30,3
551,27033,3.973204,29,4,2015-09-30,2015-10-30,3
551,134853,3.971241,30,4,2015-09-30,2015-10-30,3
551,27727,3.969515,31,4,2015-09-30,2015-10-30,3
551,3629,3.965865,32,4,2015-09-30,2015-10-30,3
551,924,3.964799,33,4,2015-09-30,2015-10-30,3
551,3415,3.963162,34,4,2015-09-30,2015-10-30,3
551,118896,3.959007,35,4,2015-09-30,2015-10-30,3
551,6433,3.958482,36,4,2015-09-30,2015-10-30,3
551,5618,3.958224,37,4,2015-09-30,2015-10-30,3
551,1232,3.957927,38,4,2015-09-30,2015-10-30,3
551,5008,3.95697,39,4,2015-09-30,2015-10-30,3
551,96075,3.95653,40,4,2015-09-30,2015-10-30,3
551,103984,3.953111,41,4,2015-09-30,2015-10-30,3
551,7234,3.952168,42,4,2015-09-30,2015-10-30,3
551,307,3.950384,43,4,2015-09-30,2015-10-30,3
551,73513,3.948833,44,4,2015-09-30,2015-10-30,3
551,1289,3.94585,45,4,2015-09-30,2015-10-30,3
551,86377,3.945056,46,4,2015-09-30,2015-10-30,3
551,296,3.942756,47,4,2015-09-30,2015-10-30,3
551,121374,3.942395,48,4,2015-09-30,2015-10-30,3
551,8128,3.941765,49,4,2015-09-30,2015-10-30,3
551,130970,3.940658,50,4,2015-09-30,2015-10-30,3
1050,6985,4.503599,1,4,2015-09-30,2015-10-30,2
1050,1305,4.408609,2,4,2015-09-30,2015-10-30,2
1050,101850,4.314263,3,4,2015-09-30,2015-10-30,2
1050,7766,4.290088,4,4,2015-09-30,2015-10-30,2
1050,7071,4.286468,5,4,2015-09-30,2015-10-30,2
1050,6669,4.262019,6,4,2015-09-30,2015-10-30,2
1050,129514,4.257275,7,4,2015-09-30,2015-10-30,2
1050,26587,4.24749,8,4,2015-09-30,2015-10-30,2
1050,46855,4.242116,9,4,2015-09-30,2015-10-30,2
1050,318,4.241645,10,4,2015-09-30,2015-10-30,2
1050,92475,4.240965,11,4,2015-09-30,2015-10-30,2
1050,2920,4.238776,12,4,2015-09-30,2015-10-30,2
1050,99764,4.230386,13,4,2015-09-30,2015-10-30,2
1050,7132,4.227948,14,4,2015-09-30,2015-10-30,2
1050,2931,4.222826,15,4,2015-09-30,2015-10-30,2
1050,1216,4.220396,16,4,2015-09-30,2015-10-30,2
1050,86347,4.215443,17,4,2015-09-30,2015-10-30,2
1050,93040,4.214616,18,4,2015-09-30,2015-10-30,2
1050,7327,4.213859,19,4,2015-09-30,2015-10-30,2
1050,120815,4.213641,20,4,2015-09-30,2015-10-30,2
1050,3621,4.213268,21,4,2015-09-30,2015-10-30,2
1050,665,4.209465,22,4,2015-09-30,2015-10-30,2
1050,926,4.202364,23,4,2015-09-30,2015-10-30,2
1050,86345,4.19822,24,4,2015-09-30,2015-10-30,2
1050,93988,4.197484,25,4,2015-09-30,2015-10-30,2
1050,5515,4.193093,26,4,2015-09-30,2015-10-30,2
1050,1202,4.191265,27,4,2015-09-30,2015-10-30,2
1050,27033,4.186795,28,4,2015-09-30,2015-10-30,2
1050,134853,4.18569,29,4,2015-09-30,2015-10-30,2
1050,27727,4.185658,30,4,2015-09-30,2015-10-30,2
1050,3629,4.181113,31,4,2015-09-30,2015-10-30,2
1050,924,4.179533,32,4,2015-09-30,2015-10-30,2
1050,3415,4.179371,33,4,2015-09-30,2015-10-30,2
1050,118896,4.173717,34,4,2015-09-30,2015-10-30,2
