userId,movieId,score,rank,eval_window,window_start,window_end,n_eval_ratings
245,169220,8.103802,1,2,2018-07-30,2018-08-30,2
245,173939,7.943449,2,2,2018-07-30,2018-08-30,2
245,173369,7.802351,3,2,2018-07-30,2018-08-30,2
245,173197,7.80195,4,2,2018-07-30,2018-08-30,2
245,178335,7.797561,5,2,2018-07-30,2018-08-30,2
245,172009,7.774876,6,2,2018-07-30,2018-08-30,2
245,178401,7.72716,7,2,2018-07-30,2018-08-30,2
245,171253,7.709782,8,2,2018-07-30,2018-08-30,2
245,183497,7.688553,9,2,2018-07-30,2018-08-30,2
245,181315,7.681745,10,2,2018-07-30,2018-08-30,2
245,183613,7.678285,11,2,2018-07-30,2018-08-30,2
245,168806,7.663676,12,2,2018-07-30,2018-08-30,2
245,179709,7.65317,13,2,2018-07-30,2018-08-30,2
245,171765,7.651921,14,2,2018-07-30,2018-08-30,2
245,166788,7.617138,15,2,2018-07-30,2018-08-30,2
245,174727,7.55918,16,2,2018-07-30,2018-08-30,2
245,182479,7.551741,17,2,2018-07-30,2018-08-30,2
245,170635,7.5387,18,2,2018-07-30,2018-08-30,2
245,74754,7.522613,19,2,2018-07-30,2018-08-30,2
245,179119,7.510968,20,2,2018-07-30,2018-08-30,2
245,182783,7.508445,21,2,2018-07-30,2018-08-30,2
245,170355,7.506284,22,2,2018-07-30,2018-08-30,2
245,169764,7.505305,23,2,2018-07-30,2018-08-30,2
245,164411,7.50116,24,2,2018-07-30,2018-08-30,2
245,179135,7.49764,25,2,2018-07-30,2018-08-30,2
245,183437,7.495101,26,2,2018-07-30,2018-08-30,2
245,178061,7.476799,27,2,2018-07-30,2018-08-30,2
245,180297,7.468807,28,2,2018-07-30,2018-08-30,2
245,184469,7.465892,29,2,2018-07-30,2018-08-30,2
245,4144,7.464842,30,2,2018-07-30,2018-08-30,2
245,179811,7.464445,31,2,2018-07-30,2018-08-30,2
245,187717,7.454948,32,2,2018-07-30,2018-08-30,2
245,174859,7.449603,33,2,2018-07-30,2018-08-30,2
245,181671,7.449226,34,2,2018-07-30,2018-08-30,2
245,179133,7.444681,35,2,2018-07-30,2018-08-30,2
245,179295,7.443307,36,2,2018-07-30,2018-08-30,2
245,167248,7.442705,37,2,2018-07-30,2018-08-30,2
245,168610,7.430156,38,2,2018-07-30,2018-08-30,2
245,170151,7.428842,39,2,2018-07-30,2018-08-30,2
245,168330,7.394159,40,2,2018-07-30,2018-08-30,2
245,171983,7.393019,41,2,2018-07-30,2018-08-30,2
245,171583,7.386083,42,2,2018-07-30,2018-08-30,2
245,171759,7.376994,43,2,2018-07-30,2018-08-30,2
245,184721,7.375812,44,2,2018-07-30,2018-08-30,2
245,62115,7.371891,45,2,2018-07-30,2018-08-30,2
245,169218,7.365157,46,2,2018-07-30,2018-08-30,2
