userId,movieId,score,rank,eval_window,window_start,window_end,n_eval_ratings
28,26587,4.442125,1,3,2010-08-30,2010-09-30,5
28,318,4.394869,2,3,2010-08-30,2010-09-30,5
28,6669,4.376057,3,3,2010-08-30,2010-09-30,5
28,7767,4.35091,4,3,2010-08-30,2010-09-30,5
28,2360,4.342069,5,3,2010-08-30,2010-09-30,5
28,2019,4.329885,6,3,2010-08-30,2010-09-30,5
28,2324,4.320321,7,3,2010-08-30,2010-09-30,5
28,858,4.31851,8,3,2010-08-30,2010-09-30,5
28,296,4.314718,9,3,2010-08-30,2010-09-30,5
28,66934,4.312103,10,3,2010-08-30,2010-09-30,5
28,3677,4.311586,11,3,2010-08-30,2010-09-30,5
28,1218,4.308976,12,3,2010-08-30,2010-09-30,5
28,7587,4.307008,13,3,2010-08-30,2010-09-30,5
28,4422,4.301547,14,3,2010-08-30,2010-09-30,5
28,1237,4.293935,15,3,2010-08-30,2010-09-30,5
28,2959,4.292808,16,3,2010-08-30,2010-09-30,5
28,1221,4.286197,17,3,2010-08-30,2010-09-30,5
28,78499,4.283651,18,3,2010-08-30,2010-09-30,5
28,73881,4.28075,19,3,2010-08-30,2010-09-30,5
28,1232,4.275163,20,3,2010-08-30,2010-09-30,5
28,50,4.274857,21,3,2010-08-30,2010-09-30,5
28,97,4.269199,22,3,2010-08-30,2010-09-30,5
28,5618,4.26749,23,3,2010-08-30,2010-09-30,5
28,7396,4.264487,24,3,2010-08-30,2010-09-30,5
28,7013,4.263098,25,3,2010-08-30,2010-09-30,5
28,4873,4.261907,26,3,2010-08-30,2010-09-30,5
28,6016,4.261733,27,3,2010-08-30,2010-09-30,5
28,1201,4.258933,28,3,2010-08-30,2010-09-30,5
28,750,4.257015,29,3,2010-08-30,2010-09-30,5
28,49917,4.251779,30,3,2010-08-30,2010-09-30,5
28,3030,4.247779,31,3,2010-08-30,2010-09-30,5
28,7505,4.246124,32,3,2010-08-30,2010-09-30,5
28,4973,4.243943,33,3,2010-08-30,2010-09-30,5
28,7327,4.243115,34,3,2010-08-30,2010-09-30,5
28,1732,4.243048,35,3,2010-08-30,2010-09-30,5
28,7766,4.236026,36,3,2010-08-30,2010-09-30,5
28,2571,4.235092,37,3,2010-08-30,2010-09-30,5
28,3819,4.234534,38,3,2010-08-30,2010-09-30,5
28,527,4.234456,39,3,2010-08-30,2010-09-30,5
28,5385,4.23118,40,3,2010-08-30,2010-09-30,5
28,4427,4.227897,41,3,2010-08-30,2010-09-30,5
28,1203,4.225923,42,3,2010-08-30,2010-09-30,5
28,7371,4.22454,43,3,2010-08-30,2010-09-30,5
28,71108,4.223702,44,3,2010-08-30,2010-09-30,5
28,36363,4.222182,45,3,2010-08-30,2010-09-30,5
28,7669,4.220576,46,3,2010-08-30,2010-09-30,5
28,26082,4.219623,47,3,2010-08-30,2010-09-30,5
28,1281,4.215591,48,3,2010-08-30,2010-09-30,5
28,58559,4.215399,49,3,2010-08-30,2010-09-30,5
28,27033,4.215174,50,3,2010-08-30,2010-09-30,5
103,26587,4.640281,1,3,2010-08-30,2010-09-30,5
103,6669,4.56957,2,3,2010-08-30,2010-09-30,5
103,7767,4.548207,3,3,2010-08-30,2010-09-30,5
103,2360,4.540886,4,3,2010-08-30,2010-09-30,5
103,2019,4.526418,5,3,2010-08-30,2010-09-30,5
103,2324,4.519739,6,3,2010-08-30,2010-09-30,5
103,66934,4.510945,7,3,2010-08-30,2010-09-30,5
103,3677,4.509659,8,3,2010-08-30,2010-09-30,5
103,7587,4.50497,9,3,2010-08-30,2010-09-30,5
103,1218,4.504084,10,3,2010-08-30,2010-09-30,5
103,4422,4.497151,11,3,2010-08-30,2010-09-30,5
103,1237,4.490161,12,3,2010-08-30,2010-09-30,5
103,73881,4.476945,13,3,2010-08-30,2010-09-30,5
103,1232,4.473341,14,3,2010-08-30,2010-09-30,5
103,97,4.465199,15,3,2010-08-30,2010-09-30,5
103,5618,4.46389,16,3,2010-08-30,2010-09-30,5
103,7396,4.462615,17,3,2010-08-30,2010-09-30,5
103,4873,4.460679,18,3,2010-08-30,2010-09-30,5
103,7013,4.460601,19,3,2010-08-30,2010-09-30,5
103,1201,4.458563,20,3,2010-08-30,2010-09-30,5
103,750,4.453303,21,3,2010-08-30,2010-09-30,5
103,49917,4.44988,22,3,2010-08-30,2010-09-30,5
103,3030,4.445753,23,3,2010-08-30,2010-09-30,5
103,7505,4.443358,24,3,2010-08-30,2010-09-30,5
103,4973,4.44156,25,3,2010-08-30,2010-09-30,5
103,7327,4.44066,26,3,2010-08-30,2010-09-30,5
103,7766,4.432846,27,3,2010-08-30,2010-09-30,5
103,527,4.43081,28,3,2010-08-30,2010-09-30,5
103,3819,4.43065,29,3,2010-08-30,2010-09-30,5
103,4427,4.424607,30,3,2010-08-30,2010-09-30,5
103,7371,4.424208,31,3,2010-08-30,2010-09-30,5
103,71108,4.423252,32,3,2010-08-30,2010-09-30,5
103,36363,4.42106,33,3,2010-08-30,2010-09-30,5
103,7669,4.418312,34,3,2010-08-30,2010-09-30,5
103,27033,4.415176,35,3,2010-08-30,2010-09-30,5
103,26082,4.414145,36,3,2010-08-30,2010-09-30,5
103,1281,4.413902,37,3,2010-08-30,2010-09-30,5
103,4914,4.40899,38,3,2010-08-30,2010-09-30,5
103,1217,4.406453,39,3,2010-08-30,2010-09-30,5
103,3000,4.406392,40,3,2010-08-30,2010-09-30,5
103,293,4.40311,41,3,2010-08-30,2010-09-30,5
103,6643,4.401902,42,3,2010-08-30,2010-09-30,5
103,1244,4.399405,43,3,2010-08-30,2010-09-30,5
103,904,4.398443,44,3,2010-08-30,2010-09-30,5
103,44555,4.397719,45,3,2010-08-30,2010-09-30,5
103,2351,4.395941,46,3,2010-08-30,2010-09-30,5
103,5971,4.392823,47,3,2010-08-30,2010-09-30,5
103,7099,4.392756,48,3,2010-08-30,2010-09-30,5
103,7981,4.389056,49,3,2010-08-30,2010-09-30,5
103,8128,4.388652,50,3,2010-08-30,2010-09-30,5
104,26587,4.201489,1,3,2010-08-30,2010-09-30,21
104,318,4.15292,2,3,2010-08-30,2010-09-30,21
104,6669,4.13029,3,3,2010-08-30,2010-09-30,21
104,7767,4.10796,4,3,2010-08-30,2010-09-30,21
104,2360,4.10199,5,3,2010-08-30,2010-09-30,21
104,2019,4.089602,6,3,2010-08-30,2010-09-30,21
104,858,4.083287,7,3,2010-08-30,2010-09-30,21
104,2324,4.079292,8,3,2010-08-30,2010-09-30,21
104,296,4.075484,9,3,2010-08-30,2010-09-30,21
104,3677,4.070233,10,3,2010-08-30,2010-09-30,21
104,66934,4.070196,11,3,2010-08-30,2010-09-30,21
104,1218,4.068305,12,3,2010-08-30,2010-09-30,21
104,7587,4.067687,13,3,2010-08-30,2010-09-30,21
104,4422,4.059713,14,3,2010-08-30,2010-09-30,21
104,1237,4.051481,15,3,2010-08-30,2010-09-30,21
104,2959,4.048434,16,3,2010-08-30,2010-09-30,21
104,1221,4.045317,17,3,2010-08-30,2010-09-30,21
104,78499,4.042369,18,3,2010-08-30,2010-09-30,21
104,73881,4.038888,19,3,2010-08-30,2010-09-30,21
104,1232,4.03391,20,3,2010-08-30,2010-09-30,21
104,50,4.031417,21,3,2010-08-30,2010-09-30,21
104,97,4.029768,22,3,2010-08-30,2010-09-30,21
104,5618,4.026365,23,3,2010-08-30,2010-09-30,21
104,7013,4.023612,24,3,2010-08-30,2010-09-30,21
104,7396,4.023098,25,3,2010-08-30,2010-09-30,21
104,4873,4.020748,26,3,2010-08-30,2010-09-30,21
104,6016,4.019,27,3,2010-08-30,2010-09-30,21
104,750,4.018735,28,3,2010-08-30,2010-09-30,21
104,1201,4.015706,29,3,2010-08-30,2010-09-30,21
104,49917,4.010561,30,3,2010-08-30,2010-09-30,21
104,3030,4.005781,31,3,2010-08-30,2010-09-30,21
104,4973,4.005324,32,3,2010-08-30,2010-09-30,21
104,7505,4.003946,33,3,2010-08-30,2010-09-30,21
104,1732,4.00156,34,3,2010-08-30,2010-09-30,21
104,7327,4.000059,35,3,2010-08-30,2010-09-30,21
104,7766,3.993829,36,3,2010-08-30,2010-09-30,21
104,527,3.992982,37,3,2010-08-30,2010-09-30,21
104,2571,3.992115,38,3,2010-08-30,2010-09-30,21
104,3819,3.990696,39,3,2010-08-30,2010-09-30,21
104,5385,3.989984,40,3,2010-08-30,2010-09-30,21
104,4427,3.984663,41,3,2010-08-30,2010-09-30,21
